Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.01,0.02,0.52,0.37,0.23
0.01,0.01,0.38,0.03,0.01
0.04,0.03,0.15,0.44,0.62
0.01,0.03,0.4,0.07,0.49
0.01,0.08,0.73,0.2,0.72
0.05,0,0.14,0.89,0.38
0.02,0.11,0,0.73,0.27
0,0.29,0.01,0.03,0.18
0,0.02,0.09,0.56,0.2
0.3,,0.57,0.01,0.18
0.01,,0.04,0.54,0.51
0.01,,0.02,0.01,0.52
,,0.38,0.06,0.46
,,0.38,,0.18
,,0.29,,0
,,0.71,,0.05
,,0.6,,
,,0.35,,
,,0.21,,
,,0.01,,
,,0.04,,
,,0.01,,
,,0.04,,
,,0.09,,
,,0.08,,
,,0.09,,
,,0,,
,,0.12,,
,,0.23,,
,,0.07,,
,,0.2,,
,,0.48,,
,,0.48,,
,,0.07,,
,,0.11,,
,,0.25,,
,,0.5,,
,,0.75,,
,,0.01,,
,,0.36,,
,,0,,
,,0.05,,
,,0.27,,
,,0.54,,
,,0.05,,
,,0.37,,
,,0.15,,
,,0.04,,
,,0.11,,
,,0.74,,
,,0.03,,
,,0.27,,
,,0.8,,
,,0.5,,
,,0.17,,
,,0.1,,
,,0.39,,
,,0.19,,
,,0,,
,,0.02,,
,,0.01,,
,,0.29,,
,,0,,
,,0.42,,
,,0.05,,
,,0.19,,
,,0.4,,
,,0.42,,
,,0.06,,
,,0.17,,
,,0.02,,
,,0,,
,,0.06,,
,,0.22,,
,,0.01,,
,,0.24,,
