statement,indonesian,retranslate,statement_score,native_score,retranslate_score
Fuck this,Sialan ini.,This sucks..,0.9,0.9,0.73
Worst. App. Ever. Please make it not the worst app ever. Thanks.,Aplikasi. Terburuk. Sepanjang masa. Tolong jangan jadikan ini aplikasi terburuk sepanjang masa. Terima kasih.,Application. Worst. Of all time. Please do not make this the worst application of all time. Thank you.,0.28,0.3,0.31
Merge my PR damnit,"Gabungkan PR saya, sialan.","Merge my PR, damn it.",0.44,0.65,0.45
Amy I need an explanation. Wtf is this lol,"Amy, saya butuh penjelasan. Apa ini lol.","Amy, I need an explanation. What is this lol..",0.43,0.05,0.05
I NEED a RESPONSE ANSWER ME!,"SAYA BUTUH JAWABAN, JAWAB SAYA!","I NEED AN ANSWER, ANSWER ME!",0.03,0.03,0.04
what kind of shit is this,Jenis sampah apa ini.,What kind of trash is this..,0.85,0.58,0.64
Readme is useless,Readme adalah tidak berguna.,Readme is useless.,0.25,0.2,0.27
"the really issue is this life, wanna die soon","Masalah sebenarnya adalah hidup ini, ingin mati secepatnya.","The actual problem is this life, wanting to die as soon as possible..",0.5,0.35,0.34
"I refuse to use any ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups go away or can be disabled. My god it's annoying.","Saya menolak untuk menggunakan aplikasi ++ apa pun sampai popup ""PLS FOLLOW ME!!!"" dan ""SIGN UP FOR A ++ ACCOUNT!!!!"" hilang atau bisa dinonaktifkan. Astaga, itu sangat mengganggu..","I refuse to use any ++ apps until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups are gone or can be disabled. My goodness, it's so annoying...",0.26,0.15,0.21
I decided to say fuck this....,"Saya memutuskan untuk mengatakan ""bodo amat"" dengan ini...","I decide to say ""I don't care"" with this....",0.85,0.46,0.09
"Could you perhaps please get your shit together and reincorporate the brilliant switch statement once again, bitch.","Bisakah kamu mungkin tolong susun dirimu dan gabungkan kembali pernyataan switch yang brilian sekali lagi, jalang.","Can you possibly please arrange yourself and put together that brilliant switch statement again, bitch?",0.95,0.85,0.85
This is a stupid request that would ruin the code even more than your previous contribution.,Ini adalah permintaan bodoh yang akan merusak kode bahkan lebih parah daripada kontribusi sebelumnya.,This is a foolish request that will damage the code even worse than the previous contributions.,0.66,0.54,0.44
Not very nice of you a..holes to infect other computers with malware. Your project looks good on paper but trying to clandestinely installing malware on people's computers is mean. What were you thinking? That everybody is stupid enough to not realize it?,"Tidak bagus sekali dari kalian para bajingan untuk menjangkiti komputer orang lain dengan malware. Proyekmu terlihat bagus di kertas, tapi mencoba untuk secara diam-diam menginstal malware di komputer orang adalah tindakan yang kejam. Apa yang kalian pikirkan? Bahwa semua orang cukup bodoh untuk tidak menyadarinya?","It's very uncool of you jerks to infect other people's computers with malware. Your project may look good on paper, but trying to stealthily install malware on someone's computer is a vile act. What were you thinking? That everyone is dumb enough not to notice?",0.59,0.72,0.69
You are a bunch of criminal crooks. Why would you include malware in the first place in download packages?,Anda adalah sekumpulan penjahat kriminal. Mengapa Anda menyertakan malware di tempat pertama dalam paket unduhan?.,You are a bunch of criminal thugs. Why did you include malware in the first place in the download package?,0.6,0.53,0.6
"Pretty sure you know what that number means, why you chose it and why you did it. Your attempt to be 'smart' and 'funny', whilst 'trolling', was extremely bad taste and immediately noticed. It was sad, disrespectful and immoral: There are kids in this chatroom, it's a public chatroom. You're banned for:Inappropriate Conduct, Filter Evasion, Explicit Content, Wheaton's Law (Baiting 2 other users into blindly re-typing it)","Cukup yakin Anda tahu apa arti nomor tersebut, mengapa Anda memilihnya dan mengapa Anda melakukannya. Upaya Anda untuk menjadi 'pintar' dan 'lucu', sambil 'trolling', adalah selera yang sangat buruk dan langsung terlihat. Itu sangat menyedihkan, tidak sopan dan tidak bermoral: Ada anak-anak di ruang obrolan ini, ini adalah ruang obrolan publik. Anda dilarang karena: Perilaku Tidak Pantas, Pelanggaran Filter, Konten Eksplisit, Wheaton's Law (Memancing 2 pengguna lain untuk mengetik ulang dengan asal-asalan).","You're quite sure you know what that number means, why you chose it, and why you did it. Your attempt to be 'smart' and 'funny' while 'trolling' is in very bad taste and instantly noticeable. It's very sad, impolite and immoral: There are children in this chat room, it's a public chat room. You are banned due to: Inappropriate Behavior, Filter Violation, Explicit Content, Wheaton's Law (Provoking 2 other users to retype haphazardly).",0.25,0.31,0.25
"This is exactly why you are banned: You couldn't display any respect for the rules or the other users in chat, you obviously have little respect or dignity for yourself to act so feral in this issue tracker, you cannot behave and you can't be trusted to act properly in front of minors/general public. Absolutely appalling and disgraceful behaviour.","Inilah persis alasan mengapa Anda dilarang: Anda tidak bisa menunjukkan rasa hormat pada aturan atau pengguna lain di ruang obrolan, Anda jelas tidak memiliki rasa hormat atau harga diri untuk bertindak begitu liar di pelacak masalah ini, Anda tidak bisa berperilaku dan Anda tidak bisa dipercaya untuk bertindak dengan benar di depan umum/anak-anak. Perilaku yang sungguh memalukan dan mempermalukan.","This is precisely the reason why you are banned: You cannot show respect to the rules or other users in the chat room, you clearly have no respect or self-esteem to act so wildly on this issue tracker, you cannot behave and you cannot be trusted to act properly in public/children. Such a shameful and embarrassing behavior.",0.41,0.37,0.41
FUCK OFF,MENGHILANG.,Disappear..,0.94,0.11,0.22
my account has booked cuz i just sign up with your fuking tool,Akun saya sudah dibooking karena saya baru saja mendaftar dengan alat sialan milikmu.,My account has already been booked because I just registered with your damn tool.,0.8,0.73,0.77
