Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.04,0.22,0.8,0.84,0.43
0.05,0.04,0.47,0.26,0.03
0.11,0.04,0.3,0.45,0.84
0.05,0.1,0.5,0.19,0.48
0.05,0.16,0.73,0.02,0.85
0.1,0.04,0.25,0.93,0.64
0.24,0.11,0.03,0.65,0.48
0.02,0.56,0.02,0.23,0.46
0.03,0.03,0.32,0.6,0.43
0.46,,0.79,0.01,0.38
0.04,,0.28,0.09,0.75
0.05,,0.01,0.04,0.85
,,0.54,0.27,0.67
,,0.14,,0.32
,,0.32,,0.02
,,0.78,,0.05
,,0.83,,
,,0.49,,
,,0.38,,
,,0.03,,
,,0.1,,
,,0.03,,
,,0.06,,
,,0.17,,
,,0.24,,
,,0.3,,
,,0.2,,
,,0.38,,
,,0.37,,
,,0.48,,
,,0.37,,
,,0.72,,
,,0.75,,
,,0.2,,
,,0.29,,
,,0.36,,
,,0.58,,
,,0.93,,
,,0.09,,
,,0.48,,
,,0.02,,
,,0.02,,
,,0.32,,
,,0.75,,
,,0.14,,
,,0.6,,
,,0.29,,
,,0.14,,
,,0.15,,
,,0.9,,
,,0.04,,
,,0.38,,
,,0.83,,
,,0.57,,
,,0.28,,
,,0.26,,
,,0.72,,
,,0.46,,
,,0.03,,
,,0.24,,
,,0.05,,
,,0.46,,
,,0.04,,
,,0.44,,
,,0.12,,
,,0.25,,
,,0.56,,
,,0.6,,
,,0.19,,
,,0.25,,
,,0.11,,
,,0.02,,
,,0.24,,
,,0.04,,
,,0.04,,
,,0.53,,
